r1: 0.09555913042549397, r2: 0.2101838459398991, cost: 5.6000000000000494e-05, freq_dirac: 0.499162
r1: 0.10583285978639315, r2: 0.21789562269626167, cost: 0.0007810000000000317, freq_dirac: 0.502084
r1: 0.09237081214069551, r2: 0.26124046356252356, cost: 0.005198000000000036, freq_dirac: 0.509075
r1: 0.12301656626404474, r2: 0.34397487706763735, cost: 0.008624999999999994, freq_dirac: 0.548007
r1: 0.10809331737927567, r2: 0.3111086344484625, cost: 0.00829599999999997, freq_dirac: 0.528579
r1: 0.09105386734422412, r2: 0.21912832876360955, cost: 0.0013340000000000019, freq_dirac: 0.499952
r1: 0.08759870940274467, r2: 0.36044448966999953, cost: 0.015801999999999983, freq_dirac: 0.549105
r1: 0.12846681937815946, r2: 0.28210783048556015, cost: 0.0025609999999999244, freq_dirac: 0.522999
r1: 0.11797845260340689, r2: 0.3390992668286258, cost: 0.009260999999999964, freq_dirac: 0.54416
r1: 0.10096258657714965, r2: 0.23253253311617467, cost: 0.0013720000000000399, freq_dirac: 0.504141
r1: 0.10450860127017844, r2: 0.23241558190567746, cost: 0.0008810000000000207, freq_dirac: 0.504683
r1: 0.1333948880120845, r2: 0.37174192280734436, cost: 0.005718999999999919, freq_dirac: 0.56732
r1: 0.13784307319941477, r2: 0.26953928638988395, cost: 0.00010799999999999699, freq_dirac: 0.521306
r1: 0.11646506345252905, r2: 0.23226089878007716, cost: 0.0008340000000000014, freq_dirac: 0.50684
r1: 0.11807798179738709, r2: 0.2414546235768679, cost: 0.00016099999999996673, freq_dirac: 0.509211
r1: 0.09534285385311471, r2: 0.2208235801404288, cost: 0.0008679999999999799, freq_dirac: 0.50086
r1: 0.0774713893116788, r2: 0.30109158035140926, cost: 0.01057000000000008, freq_dirac: 0.517882
r1: 0.08503152532408369, r2: 0.37711044250725784, cost: 0.018024999999999958, freq_dirac: 0.560758
r1: 0.13592924897078942, r2: 0.3198735703334918, cost: 0.004573999999999967, freq_dirac: 0.539633
r1: 0.10552903656171941, r2: 0.30667460654161494, cost: 0.008210999999999968, freq_dirac: 0.526194
